Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100339,2.016 ,-6.240 ,1.240 ,2.371 ,-0.325 ,-0.160 
100340,1.679 ,-4.560 ,-0.262 ,1.307 ,-0.257 ,0.332 
100341,1.483 ,-3.179 ,-1.458 ,0.396 ,0.161 ,0.263 
100342,1.418 ,-2.659 ,-1.954 ,0.664 ,0.494 ,0.084 
100343,1.506 ,-2.011 ,-1.817 ,0.264 ,0.254 ,0.299 
100344,1.390 ,-1.490 ,-1.689 ,0.138 ,-0.145 ,0.728 
100345,1.638 ,-1.289 ,-1.316 ,0.401 ,0.162 ,0.769 
100346,2.173 ,-0.783 ,-0.993 ,0.505 ,0.596 ,0.791 
100347,2.745 ,-0.365 ,-0.519 ,0.522 ,1.080 ,0.789 
100348,3.297 ,-0.311 ,0.194 ,-0.262 ,1.517 ,0.746 
100349,3.202 ,-0.148 ,-0.053 ,-0.230 ,1.100 ,0.902 
100350,3.206 ,0.032 ,-0.354 ,-0.010 ,0.879 ,1.086 
100351,3.621 ,0.097 ,0.215 ,0.410 ,1.083 ,1.224 
100352,4.007 ,-0.031 ,0.569 ,1.635 ,1.049 ,1.538 
100353,4.002 ,-0.245 ,0.609 ,1.891 ,0.747 ,1.602 
100354,3.793 ,-0.491 ,0.930 ,1.853 ,0.202 ,1.633 
100355,3.636 ,-1.007 ,1.401 ,1.861 ,-0.644 ,1.781 
100356,3.438 ,-1.815 ,1.808 ,1.567 ,-1.447 ,1.815 
100357,1.520 ,-6.577 ,3.431 ,2.763 ,-0.366 ,-0.823 
100358,1.855 ,-7.195 ,3.733 ,2.787 ,-0.034 ,-0.805 
100359,1.865 ,-8.080 ,5.355 ,3.287 ,-0.439 ,-0.269 
100360,2.006 ,-7.469 ,5.151 ,3.409 ,-0.354 ,0.074 
100361,1.375 ,-4.848 ,1.960 ,2.207 ,-0.102 ,-0.296 
100362,1.353 ,-3.195 ,-1.075 ,1.234 ,0.290 ,-0.065 
100363,1.494 ,-2.689 ,-1.655 ,0.903 ,0.623 ,0.265 
100364,1.226 ,-1.934 ,-1.843 ,0.710 ,0.095 ,0.421 
100365,0.930 ,-1.272 ,-2.335 ,0.190 ,-0.263 ,0.566 
100366,1.258 ,-1.100 ,-1.949 ,0.374 ,0.183 ,0.573 
100367,1.685 ,-0.758 ,-1.484 ,0.617 ,0.643 ,0.622 
100368,1.795 ,-0.364 ,-1.069 ,0.946 ,0.710 ,0.659 
100369,2.380 ,-0.419 ,-0.323 ,-0.060 ,0.932 ,0.678 
100370,2.501 ,-0.288 ,-0.334 ,-0.360 ,0.766 ,0.735 
100371,2.653 ,-0.228 ,-0.460 ,-0.353 ,0.647 ,0.986 
100372,3.030 ,-0.250 ,-0.113 ,-0.183 ,0.935 ,1.082 
100373,3.152 ,-0.201 ,0.000 ,0.481 ,0.754 ,1.164 
100374,3.194 ,-0.338 ,-0.112 ,0.797 ,0.694 ,1.040 
100375,3.233 ,-0.400 ,0.021 ,1.276 ,0.381 ,1.158 
100376,3.223 ,-0.578 ,0.549 ,1.501 ,-0.251 ,1.487 
100377,3.137 ,-1.031 ,0.782 ,1.467 ,-0.845 ,1.531 
100378,1.107 ,-5.779 ,3.486 ,2.682 ,-0.054 ,-1.098 
100379,0.744 ,-5.529 ,3.710 ,2.466 ,-0.395 ,-0.881 
100380,0.549 ,-4.061 ,1.829 ,1.747 ,-0.218 ,-0.959 
100381,0.528 ,-3.050 ,0.779 ,1.198 ,-0.006 ,-0.708 
100382,0.758 ,-2.921 ,-0.329 ,1.182 ,0.209 ,-0.802 
100383,0.853 ,-2.722 ,-0.619 ,1.140 ,0.235 ,-0.459 
