Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100081,6.376 ,2.466 ,1.503 ,-0.839 ,-0.123 ,-0.344 
100082,5.688 ,2.608 ,1.443 ,-0.146 ,-1.146 ,-0.610 
100083,6.846 ,-0.857 ,3.855 ,1.515 ,-0.905 ,-1.910 
100084,7.132 ,-1.049 ,3.819 ,1.495 ,-0.177 ,-1.710 
100085,6.636 ,-0.837 ,3.297 ,1.067 ,-0.117 ,-1.552 
100086,6.604 ,-0.707 ,3.181 ,0.754 ,0.003 ,-1.567 
100087,6.563 ,-0.418 ,3.003 ,0.959 ,0.252 ,-1.329 
100088,6.633 ,0.304 ,2.049 ,0.826 ,0.807 ,-0.609 
100089,7.386 ,0.929 ,2.406 ,-0.752 ,1.444 ,-0.483 
100090,7.375 ,1.104 ,1.647 ,-1.088 ,1.543 ,-0.168 
100091,7.431 ,1.254 ,1.420 ,-1.419 ,1.781 ,-0.068 
100092,7.287 ,1.814 ,1.723 ,-1.388 ,1.425 ,-0.112 
100093,6.959 ,2.096 ,1.689 ,-1.305 ,0.812 ,-0.202 
100094,6.072 ,2.253 ,1.529 ,-0.560 ,-0.900 ,-0.601 
100095,5.420 ,2.405 ,1.490 ,0.133 ,-1.885 ,-0.804 
100096,5.746 ,-1.833 ,3.047 ,2.383 ,-1.797 ,-2.317 
100097,6.028 ,-1.790 ,3.250 ,1.495 ,-1.148 ,-2.123 
100098,5.955 ,-1.604 ,3.195 ,1.702 ,-0.972 ,-1.995 
100099,6.332 ,-1.469 ,3.459 ,1.186 ,-0.284 ,-1.818 
100100,6.745 ,-1.409 ,3.439 ,0.379 ,0.546 ,-1.588 
100101,6.700 ,-1.209 ,3.129 ,-0.033 ,0.800 ,-1.403 
100102,6.215 ,-1.085 ,2.250 ,-0.119 ,0.529 ,-1.175 
100103,6.361 ,-1.219 ,2.484 ,0.188 ,0.520 ,-1.275 
100104,6.511 ,-1.029 ,2.349 ,0.081 ,0.931 ,-1.081 
100105,6.158 ,-0.579 ,1.672 ,-0.319 ,0.852 ,-0.725 
100106,6.179 ,-0.249 ,1.524 ,-1.113 ,0.866 ,-0.696 
100107,6.532 ,0.299 ,0.916 ,-1.754 ,1.322 ,-0.282 
100108,6.717 ,1.009 ,1.201 ,-1.473 ,1.280 ,-0.164 
100109,6.797 ,1.576 ,1.478 ,-1.234 ,1.269 ,-0.184 
100110,6.733 ,1.927 ,1.719 ,-1.287 ,0.549 ,-0.381 
100111,5.820 ,2.109 ,1.597 ,-0.254 ,-1.679 ,-0.844 
100112,5.792 ,-2.988 ,2.580 ,1.714 ,-0.153 ,-1.941 
100113,5.865 ,-2.470 ,2.514 ,1.609 ,-0.300 ,-1.855 
100114,5.861 ,-2.180 ,2.626 ,0.951 ,-0.109 ,-1.721 
100115,5.868 ,-2.268 ,2.788 ,0.718 ,0.365 ,-1.660 
100116,5.755 ,-2.226 ,2.097 ,0.930 ,0.395 ,-1.407 
100117,5.777 ,-1.788 ,1.803 ,0.072 ,0.488 ,-1.137 
100118,5.754 ,-1.622 ,1.402 ,-0.411 ,0.612 ,-0.878 
100119,5.472 ,-1.424 ,0.878 ,-0.433 ,0.519 ,-0.766 
100120,5.593 ,-1.419 ,1.089 ,-0.518 ,0.670 ,-0.792 
100121,5.791 ,-1.025 ,1.178 ,-0.723 ,0.745 ,-0.591 
100122,5.706 ,-0.796 ,0.824 ,-1.241 ,0.760 ,-0.360 
100123,5.425 ,-0.528 ,0.523 ,-1.329 ,0.610 ,-0.499 
100124,5.715 ,0.690 ,0.510 ,-1.825 ,0.808 ,-0.209 
100125,6.159 ,0.913 ,0.945 ,-1.603 ,1.257 ,-0.153 
