Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100001,6.404 ,-7.411 ,-0.184 ,-3.859 ,4.182 ,0.850 
100002,6.683 ,-6.771 ,0.354 ,-4.552 ,4.218 ,0.962 
100003,7.230 ,-6.920 ,-0.237 ,-3.610 ,3.035 ,1.374 
100004,7.183 ,-6.293 ,0.017 ,-4.671 ,3.533 ,1.123 
100005,6.932 ,-5.952 ,-0.470 ,-4.909 ,4.180 ,0.487 
100006,7.781 ,-6.697 ,-0.948 ,-2.809 ,1.954 ,1.383 
100007,7.576 ,-6.448 ,-0.726 ,-3.088 ,2.266 ,1.393 
100008,7.186 ,-6.276 ,-1.113 ,-3.871 ,3.298 ,0.557 
100009,6.809 ,-4.804 ,-1.488 ,-4.522 ,3.942 ,-0.249 
100010,8.248 ,-6.384 ,-1.562 ,-1.858 ,0.974 ,1.206 
100011,7.948 ,-6.322 ,-1.280 ,-2.152 ,0.955 ,1.726 
100012,7.399 ,-6.054 ,-1.093 ,-2.341 ,1.430 ,1.518 
100013,6.955 ,-5.582 ,-1.293 ,-2.876 ,2.281 ,0.608 
100014,6.690 ,-4.576 ,-1.875 ,-3.518 ,3.118 ,-0.328 
100015,8.060 ,-6.165 ,-1.600 ,-1.764 ,0.813 ,0.929 
100016,8.426 ,-6.032 ,-1.677 ,-1.397 ,0.253 ,1.457 
100017,7.923 ,-6.083 ,-1.308 ,-1.317 ,0.204 ,2.032 
100018,6.943 ,-5.919 ,-0.431 ,-1.653 ,0.891 ,1.879 
100019,6.087 ,-5.135 ,-0.061 ,-3.256 ,1.606 ,1.346 
100020,6.333 ,-4.514 ,-1.381 ,-2.895 ,2.787 ,-0.315 
100021,7.858 ,-5.998 ,-1.699 ,-0.559 ,0.096 ,1.180 
100022,7.887 ,-6.025 ,-1.877 ,-0.767 ,-0.302 ,1.770 
100023,7.602 ,-6.076 ,-1.415 ,-0.451 ,-0.285 ,2.011 
100024,6.488 ,-6.690 ,-0.781 ,-0.604 ,1.309 ,0.996 
100025,5.752 ,-5.677 ,-0.388 ,-1.870 ,1.811 ,0.570 
100026,5.994 ,-4.469 ,-1.038 ,-2.025 ,2.287 ,-0.204 
100027,8.123 ,-5.068 ,-1.716 ,0.265 ,-0.315 ,0.449 
100028,8.031 ,-5.206 ,-1.664 ,-0.057 ,-0.687 ,1.271 
100029,7.488 ,-5.622 ,-1.501 ,-0.221 ,-0.659 ,1.860 
100030,7.126 ,-5.880 ,-0.998 ,-0.447 ,-0.420 ,2.074 
100031,6.526 ,-6.101 ,-0.551 ,-0.221 ,0.006 ,1.760 
100032,5.917 ,-5.272 ,-0.326 ,-0.539 ,0.749 ,0.929 
100033,5.945 ,-4.386 ,-0.666 ,-0.993 ,1.712 ,-0.050 
100034,7.515 ,-5.032 ,-1.644 ,0.134 ,0.102 ,0.000 
100035,7.773 ,-4.935 ,-1.487 ,0.049 ,-0.481 ,0.966 
100036,7.457 ,-5.289 ,-1.357 ,0.058 ,-0.573 ,1.501 
100037,6.903 ,-5.693 ,-1.010 ,-0.193 ,-0.305 ,1.662 
100038,6.476 ,-5.685 ,-0.758 ,-0.344 ,-0.088 ,1.546 
100039,5.834 ,-5.019 ,-0.380 ,-0.534 ,0.851 ,0.674 
100040,6.931 ,-4.632 ,-1.561 ,0.170 ,0.377 ,-0.371 
100041,7.423 ,-4.548 ,-1.452 ,0.349 ,-0.358 ,0.473 
100042,7.172 ,-4.854 ,-1.255 ,0.105 ,-0.509 ,1.046 
100043,6.681 ,-5.534 ,-1.341 ,-0.227 ,0.005 ,0.982 
100044,5.988 ,-5.424 ,-0.734 ,-0.376 ,0.358 ,0.914 
100045,5.552 ,-5.386 ,-0.684 ,-0.165 ,1.376 ,0.123 
100046,7.067 ,-3.659 ,-1.744 ,0.694 ,-0.195 ,-0.343 
100047,7.004 ,-4.015 ,-1.216 ,0.394 ,-0.351 ,0.476 
100048,6.720 ,-4.663 ,-1.076 ,0.353 ,-0.334 ,0.782 
100049,6.446 ,-5.351 ,-1.455 ,0.012 ,0.036 ,0.589 
100050,5.695 ,-5.257 ,-1.260 ,-0.155 ,0.454 ,0.337 
100051,5.412 ,-5.578 ,-1.068 ,0.163 ,1.597 ,-0.269 
100052,7.092 ,-2.778 ,-1.163 ,0.517 ,-0.793 ,0.197 
100053,6.684 ,-3.496 ,-1.065 ,0.277 ,-0.426 ,0.513 
100054,6.414 ,-4.169 ,-1.120 ,0.313 ,0.025 ,0.328 
100055,6.257 ,-4.651 ,-0.959 ,0.022 ,-0.058 ,0.438 
100056,5.816 ,-4.708 ,-1.853 ,-0.018 ,0.152 ,-0.204 
100057,5.651 ,-5.255 ,-1.745 ,-0.168 ,1.584 ,-0.785 
100058,6.959 ,-2.497 ,-1.448 ,0.268 ,-1.074 ,0.341 
100059,6.495 ,-2.965 ,-0.960 ,0.136 ,-0.649 ,0.642 
100060,6.260 ,-3.584 ,-1.242 ,0.213 ,-0.151 ,0.084 
100061,5.987 ,-4.172 ,-1.502 ,0.189 ,-0.245 ,-0.026 
100062,5.515 ,-4.422 ,-1.940 ,-0.252 ,0.562 ,-0.718 
100063,6.968 ,-1.532 ,-2.403 ,-1.510 ,-0.987 ,-0.244 
100064,6.967 ,-1.776 ,-1.352 ,0.284 ,-1.583 ,0.584 
100065,6.264 ,-2.293 ,-0.708 ,0.143 ,-0.734 ,0.616 
100066,6.116 ,-2.849 ,-1.399 ,0.200 ,-0.287 ,-0.061 
100067,5.785 ,-3.354 ,-2.137 ,0.017 ,-0.178 ,-0.607 
100068,5.309 ,-3.838 ,-1.663 ,-0.116 ,0.742 ,-0.938 
100069,7.620 ,-0.782 ,-3.098 ,-1.721 ,-1.452 ,-0.453 
100070,7.778 ,-1.009 ,-2.701 ,-0.464 ,-2.182 ,0.228 
100071,6.958 ,-1.525 ,-1.493 ,0.355 ,-1.789 ,0.477 
100072,6.269 ,-2.362 ,-1.525 ,0.622 ,-0.933 ,0.167 
100073,5.814 ,-2.857 ,-1.718 ,0.299 ,-0.184 ,-0.427 
100074,5.407 ,-3.098 ,-2.036 ,0.145 ,0.297 ,-1.045 
100075,6.521 ,0.438 ,-3.206 ,-1.438 ,0.343 ,-2.437 
100076,7.413 ,0.020 ,-2.906 ,-1.121 ,-1.778 ,-0.607 
100077,7.504 ,-0.581 ,-2.855 ,-0.659 ,-2.054 ,-0.139 
100078,7.405 ,-0.976 ,-1.992 ,0.179 ,-2.357 ,0.400 
100079,6.896 ,-1.483 ,-1.486 ,0.707 ,-2.008 ,0.330 
100080,6.348 ,-2.148 ,-1.693 ,0.988 ,-1.331 ,-0.022 
100081,5.702 ,-2.725 ,-1.789 ,0.872 ,-0.428 ,-0.589 
100082,5.089 ,-3.009 ,-1.886 ,0.359 ,0.519 ,-1.269 
100083,6.950 ,1.869 ,-3.541 ,-1.582 ,-0.325 ,-2.620 
100084,7.264 ,2.089 ,-3.459 ,-1.733 ,-0.849 ,-2.094 
100085,6.704 ,1.773 ,-2.971 ,-1.204 ,-0.690 ,-1.821 
100086,6.540 ,1.680 ,-2.849 ,-0.869 ,-0.817 ,-1.760 
100087,6.395 ,1.683 ,-2.723 ,-1.227 ,-1.013 ,-1.642 
100088,6.434 ,1.062 ,-1.982 ,-1.357 ,-1.241 ,-0.894 
100089,7.153 ,0.296 ,-2.445 ,0.006 ,-2.114 ,-0.394 
100090,7.027 ,-0.208 ,-1.675 ,0.420 ,-2.095 ,-0.064 
100091,6.927 ,-0.557 ,-1.365 ,0.854 ,-2.285 ,0.160 
100092,6.621 ,-1.180 ,-1.692 ,1.008 ,-2.013 ,-0.051 
100093,6.258 ,-1.709 ,-1.762 ,1.087 ,-1.435 ,-0.311 
100094,5.533 ,-2.219 ,-1.916 ,0.551 ,0.126 ,-1.276 
100095,4.994 ,-2.550 ,-2.066 ,-0.008 ,1.007 ,-1.901 
100096,5.490 ,2.472 ,-2.231 ,-1.780 ,0.669 ,-3.307 
100097,5.877 ,2.548 ,-2.542 ,-1.194 ,-0.037 ,-2.858 
100098,5.897 ,2.518 ,-2.631 ,-1.583 ,-0.149 ,-2.735 
100099,6.330 ,2.463 ,-2.964 ,-1.298 ,-0.801 ,-2.261 
100100,6.756 ,2.454 ,-2.945 ,-0.701 ,-1.523 ,-1.629 
100101,6.691 ,2.322 ,-2.717 ,-0.408 ,-1.697 ,-1.349 
100102,6.123 ,2.008 ,-1.881 ,-0.214 ,-1.288 ,-1.257 
100103,6.250 ,2.229 ,-2.046 ,-0.462 ,-1.293 ,-1.389 
100104,6.414 ,2.211 ,-1.970 ,-0.500 ,-1.585 ,-1.097 
100105,6.069 ,1.518 ,-1.438 ,-0.061 ,-1.365 ,-0.766 
