Gridcode,PCA1,PCA2,PCA3,PCA4,PCA5,PCA6
100001,5.234 ,7.606 ,1.892 ,4.302 ,1.972 ,2.048 
100002,5.771 ,7.013 ,2.008 ,4.788 ,2.496 ,2.024 
100003,5.979 ,7.040 ,1.846 ,3.480 ,1.801 ,1.187 
100004,6.330 ,6.544 ,1.571 ,4.414 ,2.627 ,1.565 
100005,6.726 ,6.414 ,0.528 ,5.023 ,3.010 ,2.141 
100006,6.730 ,6.921 ,1.037 ,2.456 ,1.416 ,0.496 
100007,6.523 ,6.642 ,1.199 ,2.742 ,1.618 ,0.740 
100008,6.360 ,6.687 ,0.620 ,3.579 ,2.074 ,1.739 
100009,6.678 ,5.250 ,-0.784 ,4.332 ,3.052 ,2.670 
100010,7.476 ,6.675 ,0.302 ,1.375 ,0.930 ,-0.020 
100011,7.087 ,6.518 ,0.542 ,1.644 ,1.257 ,-0.263 
100012,6.567 ,6.227 ,0.623 ,1.978 ,1.470 ,0.175 
100013,6.317 ,5.891 ,0.142 ,2.589 ,1.836 ,1.200 
100014,6.734 ,5.007 ,-1.286 ,3.432 ,2.603 ,2.251 
100015,7.458 ,6.603 ,0.168 ,1.305 ,0.928 ,-0.143 
100016,7.858 ,6.359 ,0.073 ,0.879 ,0.740 ,-0.662 
100017,7.266 ,6.173 ,0.402 ,1.019 ,0.825 ,-0.900 
100018,6.228 ,5.940 ,1.154 ,1.574 ,1.276 ,-0.342 
100019,5.612 ,5.224 ,1.020 ,2.863 ,2.779 ,0.416 
100020,6.673 ,5.005 ,-1.009 ,3.172 ,2.468 ,2.008 
100021,7.316 ,6.389 ,0.014 ,0.441 ,0.265 ,-0.737 
100022,7.414 ,6.358 ,-0.142 ,0.459 ,0.586 ,-1.221 
100023,7.090 ,6.221 ,0.278 ,0.424 ,0.416 ,-1.243 
100024,5.934 ,6.843 ,0.995 ,1.167 ,0.319 ,0.208 
100025,5.439 ,5.807 ,0.770 ,2.091 ,1.681 ,0.872 
100026,6.505 ,4.778 ,-0.863 ,2.623 ,2.127 ,1.683 
100027,7.901 ,5.608 ,-0.425 ,-0.172 ,-0.260 ,-0.633 
100028,7.738 ,5.652 ,-0.222 ,-0.094 ,0.086 ,-1.250 
100029,7.188 ,5.873 ,0.053 ,0.147 ,0.401 ,-1.494 
100030,6.757 ,6.034 ,0.594 ,0.493 ,0.587 ,-1.446 
100031,6.083 ,6.150 ,1.075 ,0.601 ,0.415 ,-0.991 
100032,5.780 ,5.228 ,0.650 ,1.097 ,0.929 ,0.091 
100033,6.556 ,4.608 ,-0.576 ,1.947 ,1.520 ,1.245 
100034,7.328 ,5.618 ,-0.344 ,0.010 ,-0.263 ,-0.181 
100035,7.644 ,5.380 ,-0.196 ,-0.054 ,-0.031 ,-1.017 
100036,7.357 ,5.561 ,0.020 ,0.017 ,0.164 ,-1.332 
100037,6.678 ,5.891 ,0.497 ,0.353 ,0.384 ,-1.233 
100038,6.098 ,5.808 ,0.767 ,0.556 ,0.532 ,-0.960 
100039,5.776 ,5.022 ,0.515 ,1.181 ,0.846 ,0.208 
100040,6.824 ,5.162 ,-0.403 ,0.048 ,-0.174 ,0.205 
100041,7.449 ,4.985 ,-0.339 ,-0.216 ,-0.142 ,-0.701 
