"","Andrena_carlini","Andrena_miserabilis","Osmia_atriventris","Osmia_bucephala","Osmia_lignaria","Osmia_pumila","Andrena_violae"
"100732",0,0,0.089950156926078,0.0149271451288859,0,0.0254447961077866,0
"100733",0,0,0.154071571382583,0.0691806204084355,0,0.0578250304466827,0
"100734",0,0,0.434887433820584,0.352077820761632,0,0.348654615070812,0
"100735",0,0,0.226437950161267,0.148139508351076,0,0.14492096799698,0
"100736",0,0,0.179826511389404,0.102620104853285,0,0.101877972124947,0
"100737",0,0,0.154633203601879,0.072963387717224,0,0.0644364770377323,0
"100738",0,0,0.299791144461238,0.225473078444718,0,0.21661997967386,0
"100739",0,0,0.196062919874976,0.122706044361838,0,0.129360428426833,0
"100740",0,0,0.0998689520703856,0.0355060720467596,0,0.0699446823685529,0
"100741",0,0,0,0,0,0,0
"100742",0,0,0,0,0,0,0
"100743",0,0,0.0311442601544871,0,0,0.00390261742265696,0
"100744",0,0,0.0471590152549629,0,0,0.00464332237185383,0
"100745",0,0,0.0220843499427785,0,0,0,0
"100746",0,0,0.114037635415548,0.0580142849200879,0,0.118226250150261,0
"100747",0,0,0.177363903267055,0.124524104398666,0,0.183693371144155,0
"100748",0,0,0,0,0,0,0
"100749",0,0,0,0,0,0,0
"100750",0,0,0.0185963887835496,0,0,0,0
"100751",0,0,0.0108660607144397,0,0,0,0
"100752",0,0,0.0990938757098483,0.0185507432214901,0,0.01681616204352,0
"100753",0,0,0.131428713414315,0.049606306518632,0,0.0434670676444016,0
"100754",0,0,0.0867978741556997,0.0130034446611534,0,0.0229989054115778,0
"100755",0,0,0.109556325495565,0.0401306149572364,0,0.0645420923899449,0
"100756",0,0,0.231897112140187,0.154062951275629,0,0.155273256278574,0
"100757",0,0,0.179049120082905,0.106944109263869,0,0.120081917135617,0
"100758",0,0,0.204136144944794,0.128988762453068,0,0.13095285950853,0
"100759",0,0,0.406710338578979,0.327975207849701,0,0.321688967026825,0
"100760",0,0,0.405964754890676,0.331529668287064,0,0.334522398924422,0
"100761",0,0,0.1659453895319,0.0994653684745643,0,0.121405012961353,0
"100762",0,0,0,0,0,0,0
"100763",0,0,0.126716584531233,0.059281388918168,0,0.0883500783184062,0
"100764",0,0,0.178417013351237,0.105730905856935,0,0.119091763040495,0
"100765",0,0,0.0389549283784703,0,0,0.0116063764125365,0
"100766",0,0,0,0,0,0,0
"100767",0,0,0.150552310536884,0.0832154442248239,0,0.10049327747646,0
"100768",0,0,0,0,0,0,0
"100769",0,0,0,0,0,0,0
"100770",0,0,0.0593945532146082,0,0,0.00386877616163495,0
"100771",0,0,0.161607642943549,0.0803370914713897,0,0.0761877410320291,0
"100772",0,0,0.199636893026505,0.113724669857223,0,0.098804527662504,0
"100773",0,0,0.308724992896516,0.21740659521806,0,0.192054226661725,0
"100774",0,0,0.258341987272769,0.172480577093714,0,0.155009674620785,0
"100775",0,0,0.27938146736912,0.189916520635085,0,0.162176706167381,0
"100776",0,0,0.281754710020606,0.191955100169586,0,0.167875765264699,0
"100777",0,0,0.305230803895764,0.219074345467929,0,0.200529476046691,0
"100778",0,0,0.416381849432469,0.33648880204372,0,0.327951502267954,0
"100779",0.0558568056763343,0,0.654356230565787,0.579382256389067,0.0447196129245305,0.580347639893166,0
"100780",0,0,0.577900351953978,0.503738897956523,0,0.503947439543488,0
"100781",0,0,0.330238608967932,0.270007342872025,0,0.303547799558853,0
"100782",0,0,0.00595057289732792,0,0,0,0
"100783",0,0,0,0,0,0,0
"100784",0,0,0.134816815010811,0.0667845051523491,0,0.0733754106020678,0
"100785",0,0,0.179970892419362,0.117114698767403,0,0.133211930989745,0
"100786",0,0,0,0,0,0,0
"100787",0,0,0,0,0,0,0
"100788",0,0,0,0,0,0,0
"100789",0,0,0.105575473049444,0.0440052308051331,0,0.0654279199697821,0
"100790",0,0,0,0,0,0,0
"100791",0,0,0,0,0,0.00437795465619473,0
"100792",0,0,0,0,0,0,0
"100793",0,0,0,0,0,0,0
"100794",0,0,0,0,0,0,0
"100795",0,0,0.160031908896293,0.0797500519205949,0,0.0776652858224061,0
"100796",0,0,0.190264286364292,0.112431593250758,0,0.116205403584758,0
"100797",0,0,0.227452223488947,0.139490517721705,0,0.11851120360201,0
"100798",0,0,0.338974146995329,0.242753161806477,0,0.203979204954328,0
"100799",0,0,0.317249188507571,0.229247100951695,0,0.204692125543023,0
"100800",0,0,0.382518307575823,0.301324272747584,0,0.291675805388194,0
"100801",0,0,0.265393279604937,0.184310226174847,0,0.17540412324187,0
"100802",0,0,0.346390640276468,0.267440475865067,0,0.265746902120881,0
"100803",0,0,0.298789308459277,0.224511817433379,0,0.227367535212787,0
"100804",0.0551935993653353,0,0.628269085961024,0.557241396233933,0.0493690825049911,0.566474539741775,0
"100805",0,0,0.357382603481659,0.285947418538374,0,0.293740152732296,0
"100806",0,0,0.10004297892762,0.0274925373634762,0,0.0328268478622725,0
"100807",0,0,0.0569708457996805,0,0,0,0
"100808",0,0,0.0694770381851476,0,0,0.01190954084592,0
"100809",0,0,0.146202980507768,0.0693633994676494,0,0.0654181825677659,0
"100810",0,0,0.0779517604167218,0.00921291792100554,0,0.0228686134122578,0
"100811",0,0,0.0190634397706186,0,0,0,0
"100812",0,0,0.00181586858831329,0,0,0,0
"100813",0,0,0,0,0,0,0
"100814",0,0,0,0,0,0,0
"100815",0,0,0.00176975564689485,0,0,0,0
"100816",0,0,0,0,0,0,0
"100817",0,0,0,0,0,0,0
"100818",0,0,0,0,0,0,0
"100819",0,0,0,0,0,0,0
"100820",0,0,0,0,0,0,0
"100821",0,0,0,0,0,0,0
"100822",0,0,0,0,0,0,0
"100823",0,0,0.142992463261612,0.0723217643916266,0,0.0878856283303099,0
"100824",0,0,0.186346459989896,0.11120594629792,0,0.121619618169298,0
"100825",0,0,0.158352967215869,0.0763586470072315,0,0.0694870083869289,0
"100826",0,0,0.130509383537114,0.053520893473085,0,0.0510793902246859,0
"100827",0,0,0.184903544151336,0.118279808821581,0,0.124870373662216,0
"100828",0,0,0.135194735456766,0.0722315634768961,0,0.0870534509331237,0
"100829",0,0,0.171562917251511,0.10808112228951,0,0.126820157561051,0
"100830",0,0,0.144296456174778,0.0834506106179378,0,0.108303415118389,0
"100831",0,0,0.134263564408856,0.0718485190263682,0,0.08256740833994,0
