Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100013,0.000 ,0.379 ,0.000 ,0.002 ,0.025 ,0.000 ,0.001 ,0.007 ,0.396 ,0.000 ,0.000 ,0.000 ,0.000 ,0.014 ,0.002 ,0.000 ,0.371 ,0.001 ,0.026 ,0.017 ,0.089 ,0.000 ,0.053 
100014,0.000 ,0.282 ,0.000 ,0.007 ,0.010 ,0.000 ,0.000 ,0.001 ,0.336 ,0.000 ,0.000 ,0.000 ,0.000 ,0.009 ,0.001 ,0.000 ,0.304 ,0.000 ,0.009 ,0.006 ,0.041 ,0.000 ,0.016 
100015,0.000 ,0.475 ,0.000 ,0.002 ,0.004 ,0.000 ,0.000 ,0.008 ,0.643 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.002 ,0.000 ,0.570 ,0.001 ,0.001 ,0.070 ,0.052 ,0.000 ,0.029 
100016,0.000 ,0.521 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.006 ,0.697 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.002 ,0.000 ,0.626 ,0.000 ,0.000 ,0.090 ,0.032 ,0.000 ,0.028 
100017,0.000 ,0.502 ,0.000 ,0.002 ,0.002 ,0.000 ,0.000 ,0.010 ,0.634 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.003 ,0.000 ,0.555 ,0.001 ,0.000 ,0.080 ,0.043 ,0.000 ,0.025 
100018,0.000 ,0.470 ,0.000 ,0.002 ,0.013 ,0.000 ,0.002 ,0.025 ,0.446 ,0.000 ,0.000 ,0.000 ,0.000 ,0.006 ,0.006 ,0.000 ,0.419 ,0.004 ,0.005 ,0.047 ,0.089 ,0.000 ,0.041 
100019,0.000 ,0.435 ,0.000 ,0.005 ,0.036 ,0.000 ,0.003 ,0.011 ,0.247 ,0.000 ,0.000 ,0.001 ,0.000 ,0.017 ,0.002 ,0.000 ,0.288 ,0.004 ,0.045 ,0.026 ,0.159 ,0.000 ,0.104 
100020,0.000 ,0.298 ,0.000 ,0.007 ,0.013 ,0.000 ,0.000 ,0.002 ,0.337 ,0.000 ,0.000 ,0.000 ,0.000 ,0.011 ,0.001 ,0.000 ,0.340 ,0.000 ,0.012 ,0.008 ,0.057 ,0.000 ,0.028 
100021,0.000 ,0.499 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.008 ,0.682 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.002 ,0.000 ,0.627 ,0.001 ,0.000 ,0.087 ,0.030 ,0.000 ,0.029 
100022,0.000 ,0.520 ,0.000 ,0.002 ,0.000 ,0.000 ,0.000 ,0.007 ,0.725 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.640 ,0.000 ,0.000 ,0.104 ,0.031 ,0.000 ,0.024 
100023,0.000 ,0.504 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.011 ,0.661 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.003 ,0.000 ,0.589 ,0.001 ,0.000 ,0.086 ,0.029 ,0.000 ,0.023 
100024,0.000 ,0.455 ,0.000 ,0.000 ,0.012 ,0.000 ,0.003 ,0.030 ,0.456 ,0.002 ,0.000 ,0.001 ,0.000 ,0.006 ,0.006 ,0.000 ,0.438 ,0.004 ,0.013 ,0.049 ,0.042 ,0.000 ,0.042 
100025,0.000 ,0.419 ,0.000 ,0.002 ,0.044 ,0.000 ,0.005 ,0.022 ,0.349 ,0.000 ,0.000 ,0.001 ,0.000 ,0.020 ,0.005 ,0.000 ,0.337 ,0.003 ,0.063 ,0.027 ,0.122 ,0.000 ,0.095 
100026,0.000 ,0.322 ,0.000 ,0.017 ,0.015 ,0.000 ,0.001 ,0.003 ,0.354 ,0.000 ,0.000 ,0.000 ,0.000 ,0.015 ,0.001 ,0.000 ,0.413 ,0.000 ,0.013 ,0.015 ,0.129 ,0.000 ,0.078 
100027,0.000 ,0.519 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.004 ,0.732 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.719 ,0.000 ,0.000 ,0.091 ,0.019 ,0.000 ,0.043 
100028,0.000 ,0.534 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.005 ,0.738 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.698 ,0.000 ,0.000 ,0.101 ,0.018 ,0.000 ,0.032 
100029,0.000 ,0.514 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.009 ,0.704 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.627 ,0.001 ,0.000 ,0.126 ,0.022 ,0.000 ,0.022 
100030,0.000 ,0.502 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.015 ,0.611 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.004 ,0.000 ,0.535 ,0.001 ,0.000 ,0.097 ,0.034 ,0.000 ,0.021 
100031,0.000 ,0.496 ,0.000 ,0.000 ,0.004 ,0.000 ,0.001 ,0.029 ,0.499 ,0.001 ,0.001 ,0.000 ,0.000 ,0.003 ,0.006 ,0.000 ,0.465 ,0.003 ,0.002 ,0.065 ,0.054 ,0.000 ,0.025 
100032,0.000 ,0.454 ,0.001 ,0.003 ,0.015 ,0.000 ,0.007 ,0.023 ,0.530 ,0.001 ,0.000 ,0.001 ,0.000 ,0.010 ,0.007 ,0.000 ,0.465 ,0.004 ,0.013 ,0.080 ,0.115 ,0.000 ,0.073 
100033,0.000 ,0.371 ,0.002 ,0.026 ,0.012 ,0.000 ,0.002 ,0.007 ,0.534 ,0.000 ,0.000 ,0.000 ,0.000 ,0.012 ,0.003 ,0.000 ,0.514 ,0.000 ,0.009 ,0.033 ,0.140 ,0.000 ,0.098 
100034,0.000 ,0.475 ,0.000 ,0.000 ,0.001 ,0.000 ,0.001 ,0.006 ,0.686 ,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.660 ,0.001 ,0.001 ,0.088 ,0.028 ,0.000 ,0.045 
100035,0.000 ,0.525 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.005 ,0.723 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.698 ,0.000 ,0.000 ,0.102 ,0.022 ,0.000 ,0.041 
100036,0.000 ,0.520 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.007 ,0.705 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.661 ,0.000 ,0.000 ,0.107 ,0.021 ,0.000 ,0.029 
100037,0.000 ,0.498 ,0.000 ,0.001 ,0.001 ,0.000 ,0.000 ,0.015 ,0.620 ,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.004 ,0.000 ,0.553 ,0.001 ,0.001 ,0.081 ,0.037 ,0.000 ,0.022 
100038,0.000 ,0.494 ,0.000 ,0.001 ,0.004 ,0.000 ,0.001 ,0.024 ,0.557 ,0.001 ,0.000 ,0.000 ,0.000 ,0.003 ,0.006 ,0.000 ,0.489 ,0.003 ,0.002 ,0.080 ,0.071 ,0.000 ,0.027 
100039,0.000 ,0.449 ,0.001 ,0.005 ,0.014 ,0.000 ,0.007 ,0.022 ,0.543 ,0.001 ,0.000 ,0.002 ,0.000 ,0.010 ,0.007 ,0.000 ,0.473 ,0.003 ,0.015 ,0.079 ,0.113 ,0.000 ,0.086 
100040,0.000 ,0.441 ,0.001 ,0.001 ,0.002 ,0.000 ,0.002 ,0.007 ,0.662 ,0.002 ,0.000 ,0.000 ,0.000 ,0.002 ,0.002 ,0.000 ,0.624 ,0.001 ,0.002 ,0.092 ,0.040 ,0.000 ,0.070 
100041,0.000 ,0.505 ,0.001 ,0.001 ,0.001 ,0.000 ,0.001 ,0.005 ,0.719 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.704 ,0.001 ,0.000 ,0.109 ,0.034 ,0.000 ,0.066 
100042,0.000 ,0.508 ,0.000 ,0.002 ,0.000 ,0.000 ,0.001 ,0.007 ,0.712 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.673 ,0.001 ,0.000 ,0.114 ,0.035 ,0.000 ,0.047 
100043,0.000 ,0.485 ,0.000 ,0.001 ,0.003 ,0.000 ,0.001 ,0.013 ,0.656 ,0.001 ,0.000 ,0.000 ,0.000 ,0.002 ,0.004 ,0.000 ,0.576 ,0.001 ,0.001 ,0.095 ,0.056 ,0.000 ,0.031 
100044,0.000 ,0.476 ,0.001 ,0.002 ,0.010 ,0.000 ,0.004 ,0.027 ,0.544 ,0.002 ,0.001 ,0.001 ,0.000 ,0.008 ,0.008 ,0.000 ,0.476 ,0.005 ,0.009 ,0.091 ,0.091 ,0.000 ,0.050 
100045,0.000 ,0.430 ,0.001 ,0.001 ,0.018 ,0.000 ,0.007 ,0.025 ,0.508 ,0.002 ,0.001 ,0.002 ,0.000 ,0.013 ,0.008 ,0.000 ,0.429 ,0.003 ,0.031 ,0.058 ,0.059 ,0.000 ,0.073 
100046,0.000 ,0.454 ,0.002 ,0.005 ,0.001 ,0.000 ,0.002 ,0.004 ,0.710 ,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.714 ,0.001 ,0.001 ,0.124 ,0.052 ,0.000 ,0.154 
100047,0.000 ,0.486 ,0.002 ,0.006 ,0.001 ,0.000 ,0.002 ,0.006 ,0.707 ,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.002 ,0.000 ,0.693 ,0.001 ,0.001 ,0.131 ,0.056 ,0.000 ,0.102 
100048,0.000 ,0.489 ,0.001 ,0.003 ,0.001 ,0.000 ,0.001 ,0.010 ,0.679 ,0.001 ,0.000 ,0.000 ,0.000 ,0.001 ,0.002 ,0.000 ,0.642 ,0.001 ,0.001 ,0.110 ,0.046 ,0.000 ,0.055 
100049,0.000 ,0.477 ,0.000 ,0.002 ,0.003 ,0.000 ,0.001 ,0.012 ,0.662 ,0.001 ,0.000 ,0.000 ,0.000 ,0.002 ,0.004 ,0.000 ,0.583 ,0.001 ,0.002 ,0.101 ,0.064 ,0.000 ,0.040 
