Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100001,0.001 ,0.167 ,0.148 ,0.000 ,0.054 ,0.003 ,0.038 ,0.052 ,0.008 ,0.003 ,0.000 ,0.045 ,0.000 ,0.001 ,0.001 ,0.000 ,0.594 ,0.001 ,0.001 ,0.326 ,0.105 ,0.014 ,0.857 
100002,0.001 ,0.163 ,0.133 ,0.000 ,0.028 ,0.001 ,0.048 ,0.060 ,0.018 ,0.004 ,0.000 ,0.042 ,0.000 ,0.001 ,0.001 ,0.000 ,0.543 ,0.001 ,0.001 ,0.367 ,0.099 ,0.014 ,0.785 
100003,0.000 ,0.141 ,0.108 ,0.000 ,0.019 ,0.000 ,0.027 ,0.028 ,0.009 ,0.003 ,0.000 ,0.014 ,0.000 ,0.000 ,0.000 ,0.000 ,0.614 ,0.000 ,0.000 ,0.183 ,0.063 ,0.004 ,0.861 
100004,0.000 ,0.153 ,0.102 ,0.000 ,0.014 ,0.001 ,0.037 ,0.028 ,0.012 ,0.003 ,0.000 ,0.017 ,0.000 ,0.001 ,0.000 ,0.000 ,0.598 ,0.001 ,0.000 ,0.215 ,0.072 ,0.009 ,0.822 
100005,0.000 ,0.178 ,0.112 ,0.000 ,0.016 ,0.004 ,0.043 ,0.017 ,0.011 ,0.001 ,0.000 ,0.018 ,0.000 ,0.001 ,0.000 ,0.000 ,0.666 ,0.001 ,0.001 ,0.162 ,0.069 ,0.031 ,0.899 
100006,0.000 ,0.147 ,0.090 ,0.000 ,0.012 ,0.000 ,0.015 ,0.009 ,0.007 ,0.001 ,0.000 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.747 ,0.000 ,0.000 ,0.084 ,0.043 ,0.001 ,0.941 
100007,0.000 ,0.141 ,0.080 ,0.000 ,0.012 ,0.000 ,0.019 ,0.012 ,0.006 ,0.002 ,0.000 ,0.006 ,0.000 ,0.000 ,0.000 ,0.000 ,0.682 ,0.000 ,0.000 ,0.092 ,0.051 ,0.003 ,0.918 
100008,0.000 ,0.173 ,0.088 ,0.000 ,0.016 ,0.004 ,0.023 ,0.009 ,0.005 ,0.001 ,0.000 ,0.008 ,0.000 ,0.000 ,0.000 ,0.000 ,0.741 ,0.000 ,0.000 ,0.107 ,0.058 ,0.012 ,0.949 
100009,0.000 ,0.207 ,0.090 ,0.000 ,0.006 ,0.029 ,0.030 ,0.004 ,0.014 ,0.000 ,0.000 ,0.011 ,0.000 ,0.000 ,0.000 ,0.000 ,0.754 ,0.000 ,0.001 ,0.065 ,0.059 ,0.074 ,0.931 
100010,0.000 ,0.330 ,0.126 ,0.000 ,0.008 ,0.002 ,0.045 ,0.004 ,0.009 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.883 ,0.000 ,0.000 ,0.150 ,0.046 ,0.008 ,0.987 
100011,0.000 ,0.230 ,0.180 ,0.000 ,0.006 ,0.001 ,0.049 ,0.006 ,0.009 ,0.001 ,0.000 ,0.002 ,0.000 ,0.000 ,0.001 ,0.000 ,0.816 ,0.000 ,0.000 ,0.111 ,0.030 ,0.007 ,0.974 
100012,0.000 ,0.194 ,0.235 ,0.000 ,0.011 ,0.002 ,0.060 ,0.009 ,0.009 ,0.002 ,0.000 ,0.007 ,0.000 ,0.000 ,0.001 ,0.000 ,0.766 ,0.000 ,0.000 ,0.098 ,0.052 ,0.009 ,0.957 
100013,0.000 ,0.170 ,0.084 ,0.000 ,0.014 ,0.006 ,0.027 ,0.007 ,0.007 ,0.001 ,0.000 ,0.011 ,0.000 ,0.001 ,0.000 ,0.000 ,0.722 ,0.000 ,0.000 ,0.071 ,0.070 ,0.022 ,0.947 
100014,0.000 ,0.209 ,0.081 ,0.000 ,0.005 ,0.046 ,0.024 ,0.003 ,0.015 ,0.000 ,0.000 ,0.010 ,0.000 ,0.000 ,0.000 ,0.000 ,0.770 ,0.000 ,0.001 ,0.051 ,0.068 ,0.074 ,0.940 
100015,0.000 ,0.356 ,0.128 ,0.000 ,0.008 ,0.005 ,0.062 ,0.004 ,0.011 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.890 ,0.000 ,0.000 ,0.176 ,0.063 ,0.016 ,0.988 
100016,0.000 ,0.345 ,0.094 ,0.000 ,0.004 ,0.002 ,0.051 ,0.002 ,0.011 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.893 ,0.000 ,0.000 ,0.118 ,0.058 ,0.009 ,0.990 
100017,0.000 ,0.305 ,0.171 ,0.000 ,0.003 ,0.003 ,0.056 ,0.005 ,0.010 ,0.002 ,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.000 ,0.829 ,0.000 ,0.000 ,0.078 ,0.032 ,0.012 ,0.972 
