Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100001,0.000 ,0.509 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.014 ,0.490 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.001 ,0.437 ,0.000 ,0.003 ,0.138 ,0.002 ,0.000 ,0.020 
100002,0.000 ,0.507 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.008 ,0.568 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.000 ,0.304 ,0.000 ,0.003 ,0.182 ,0.001 ,0.000 ,0.011 
100003,0.000 ,0.527 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.007 ,0.543 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.000 ,0.474 ,0.000 ,0.000 ,0.081 ,0.001 ,0.000 ,0.012 
100004,0.000 ,0.523 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.006 ,0.540 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.291 ,0.000 ,0.001 ,0.110 ,0.000 ,0.000 ,0.006 
100005,0.000 ,0.518 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.009 ,0.434 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.247 ,0.000 ,0.003 ,0.069 ,0.000 ,0.000 ,0.006 
100006,0.000 ,0.545 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.008 ,0.478 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.543 ,0.000 ,0.000 ,0.034 ,0.001 ,0.000 ,0.011 
100007,0.000 ,0.545 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.007 ,0.493 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.516 ,0.000 ,0.000 ,0.039 ,0.001 ,0.000 ,0.010 
100008,0.000 ,0.513 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.012 ,0.370 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.406 ,0.000 ,0.001 ,0.042 ,0.001 ,0.000 ,0.010 
100009,0.000 ,0.513 ,0.003 ,0.000 ,0.000 ,0.000 ,0.002 ,0.018 ,0.402 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.376 ,0.001 ,0.003 ,0.055 ,0.001 ,0.000 ,0.028 
100010,0.000 ,0.572 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.009 ,0.556 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.556 ,0.001 ,0.000 ,0.039 ,0.003 ,0.000 ,0.020 
100011,0.000 ,0.582 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.009 ,0.532 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.573 ,0.000 ,0.000 ,0.038 ,0.002 ,0.000 ,0.017 
100012,0.000 ,0.561 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.009 ,0.498 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.573 ,0.000 ,0.000 ,0.039 ,0.002 ,0.000 ,0.020 
100013,0.000 ,0.531 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.014 ,0.406 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.526 ,0.001 ,0.000 ,0.039 ,0.002 ,0.000 ,0.026 
100014,0.000 ,0.518 ,0.005 ,0.000 ,0.000 ,0.000 ,0.006 ,0.027 ,0.378 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.477 ,0.001 ,0.002 ,0.052 ,0.003 ,0.000 ,0.057 
100015,0.000 ,0.561 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.010 ,0.567 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.539 ,0.001 ,0.000 ,0.039 ,0.003 ,0.000 ,0.022 
100016,0.000 ,0.588 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.009 ,0.602 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.562 ,0.001 ,0.000 ,0.057 ,0.006 ,0.000 ,0.041 
100017,0.000 ,0.587 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.008 ,0.580 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.607 ,0.000 ,0.000 ,0.072 ,0.004 ,0.000 ,0.031 
100018,0.000 ,0.541 ,0.001 ,0.000 ,0.000 ,0.000 ,0.000 ,0.008 ,0.616 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.000 ,0.648 ,0.000 ,0.000 ,0.140 ,0.003 ,0.000 ,0.010 
