Gridcode,Viola_adunca,Viola_affinis,Viola_bicolor,Viola_brittoniana,Viola_canadensis,Viola_hastata,Viola_hirsutula,Viola_labradorica,Viola_lanceolata,Viola_nephrophylla,Viola_odorata,Viola_pedata,Viola_renifolia,Viola_rostrata,Viola_rotundifolia,Viola_selkirkii,Viola_septemloba,Viola_septentrionalis,Viola_striata,Viola_tricolor,Viola_triloba,Viola_tripartita,Viola_walteri
100001,0.000 ,0.372 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.002 ,0.533 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.004 ,0.000 ,0.169 ,0.000 ,0.026 ,0.033 ,0.000 ,0.000 ,0.001 
100002,0.000 ,0.395 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.589 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.005 ,0.000 ,0.124 ,0.000 ,0.016 ,0.037 ,0.000 ,0.000 ,0.001 
100003,0.000 ,0.386 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.002 ,0.608 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.003 ,0.000 ,0.338 ,0.000 ,0.004 ,0.018 ,0.000 ,0.000 ,0.001 
100004,0.000 ,0.410 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.607 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.004 ,0.000 ,0.190 ,0.000 ,0.006 ,0.021 ,0.000 ,0.000 ,0.001 
100005,0.000 ,0.446 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.001 ,0.561 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.005 ,0.000 ,0.142 ,0.000 ,0.012 ,0.035 ,0.000 ,0.000 ,0.001 
100006,0.000 ,0.421 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.003 ,0.590 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.001 ,0.000 ,0.497 ,0.000 ,0.001 ,0.017 ,0.001 ,0.000 ,0.005 
100007,0.000 ,0.419 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.002 ,0.601 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.002 ,0.000 ,0.462 ,0.000 ,0.001 ,0.020 ,0.001 ,0.000 ,0.004 
100008,0.000 ,0.449 ,0.001 ,0.000 ,0.001 ,0.000 ,0.000 ,0.002 ,0.531 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.003 ,0.000 ,0.264 ,0.000 ,0.004 ,0.021 ,0.000 ,0.000 ,0.001 
100009,0.000 ,0.504 ,0.004 ,0.000 ,0.000 ,0.000 ,0.000 ,0.002 ,0.528 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.007 ,0.000 ,0.175 ,0.000 ,0.005 ,0.040 ,0.000 ,0.000 ,0.004 
100010,0.000 ,0.474 ,0.000 ,0.000 ,0.001 ,0.000 ,0.000 ,0.005 ,0.576 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.001 ,0.000 ,0.576 ,0.000 ,0.000 ,0.023 ,0.002 ,0.000 ,0.015 
