"","Andrena_carlini","Andrena_miserabilis","Osmia_atriventris","Osmia_bucephala","Osmia_lignaria","Osmia_pumila","Andrena_violae"
"100775",0,0,0.368786077447753,0.295987811350561,0,0.29948281192387,0
"100776",0,0,0.379670562437829,0.30637879844311,0,0.311456589415097,0
"100777",0,0,0.400408336473883,0.328927300560434,0,0.335676636831877,0
"100778",0,0,0.529822829660781,0.462352986244769,0,0.471599568139199,0
"100779",0.209029964728055,0.112007270558661,0.751651929320582,0.685739430650987,0.201996726264305,0.697807103469346,0
"100780",0.138146454402705,0.0410088668997191,0.679665394050434,0.61480643759188,0.131398504375148,0.626671738177311,0
"100781",0,0,0.480671973730694,0.420245703860119,0,0.442384976508644,0
"100782",0,0,0.145851128285035,0.08431142699031,0,0.107567727733387,0
"100783",0,0,0.0896970999752974,0.0261571912753876,0,0.0463995614881814,0
"100784",0,0,0.166108283042435,0.0969488930748348,0,0.103648988973166,0
"100785",0,0,0.194042781312644,0.130401601736106,0,0.143326995254291,0
"100786",0,0,0,0,0,0,0
"100787",0,0,0,0,0,0,0
"100788",0,0,0,0,0,0,0
"100789",0,0,0.0753847502750917,0.0117175413358125,0,0.0264553972459932,0
"100790",0,0,0,0,0,0,0
"100791",0,0,0.0287047903698922,0,0,0,0
"100792",0,0,0,0,0,0,0
"100793",0,0,0,0,0,0,0
"100794",0,0,0,0,0,0,0
"100795",0,0,0.329470953912377,0.260842887177656,0,0.274622407953987,0
"100796",0,0,0.36441943242206,0.295272966320176,0,0.310411491957787,0
"100797",0,0,0.358982966370077,0.285833046438267,0,0.292666009101441,0
"100798",0,0,0.428056202918713,0.3512320308938,0,0.351998090167347,0
"100799",0,0,0.424153063553992,0.351982807532175,0,0.356870799148644,0
"100800",0,0,0.525780315209375,0.458373788330527,0,0.467630985122637,0.025799220690511
"100801",0,0,0.395958652605174,0.326941948366728,0,0.336456454871012,0
"100802",0,0,0.491340444735593,0.423322150299523,0,0.435013742249769,0
"100803",0,0,0.425228804133094,0.359198172203327,0,0.371892965371725,0
"100804",0.21385540232363,0.125150629819491,0.746578330116777,0.682176819679922,0.208987124314195,0.696508206520769,0
"100805",0,0,0.462835136766835,0.398188973627881,0,0.412109455928035,0
"100806",0,0,0.187707124223342,0.121956847641404,0,0.133920320233541,0
"100807",0,0,0.16122488265636,0.0949721382349589,0,0.108855306561658,0
"100808",0,0,0.154665984529378,0.0885448871977963,0,0.102120695349501,0
"100809",0,0,0.176451130665384,0.108622246417948,0,0.116029836168583,0
"100810",0,0,0.104260128531289,0.041062199824201,0,0.0528496231825488,0
"100811",0,0,0.0564571666449415,0,0,0.0122345768263502,0
"100812",0,0,0.0158017001950856,0,0,0,0
"100813",0,0,0,0,0,0,0
"100814",0,0,0,0,0,0,0
"100815",0,0,0.0274394767980088,0,0,0,0
"100816",0,0,0,0,0,0,0
"100817",0,0,0,0,0,0,0
"100818",0,0,0,0,0,0,0
"100819",0,0,0,0,0,0,0
"100820",0,0,0,0,0,0,0
"100821",0,0,0,0,0,0,0
"100822",0,0,0,0,0,0,0
"100823",0,0,0.330322031510769,0.26633265502764,0,0.28621010427159,0
"100824",0,0,0.369468095299072,0.30226021146218,0,0.319458135635798,0
"100825",0,0,0.303012381052533,0.231838282233996,0,0.242412020129161,0
"100826",0,0,0.264657428937814,0.194299622953275,0,0.204133336915547,0
"100827",0,0,0.332460528571289,0.265408917884835,0,0.278739009620858,0
"100828",0,0,0.28163948104352,0.217683077884081,0,0.234537621815788,0
"100829",0,0,0.338334826391144,0.275784500387478,0,0.294459158000825,0
"100830",0,0,0.300633302990799,0.239279179086254,0,0.260493498100634,0
"100831",0,0,0.26273488732038,0.199023438382135,0,0.214139932821878,0
"100832",0,0,0.357779380236523,0.298197100051267,0,0.320798173385982,0
"100833",0,0,0.262765867810727,0.200262976155247,0,0.216069480144914,0
"100834",0,0,0.131270060761901,0.0654647792326923,0,0.0757797000956787,0
"100835",0,0,0.169938995331228,0.104345947092777,0,0.118031223032864,0
"100836",0,0,0.128428700393847,0.0636122972456835,0,0.0790579563599541,0
"100837",0,0,0.187555716034449,0.121601903454604,0,0.13123417798233,0
"100838",0,0,0.310655083045323,0.243143696056626,0,0.250824135055217,0
"100839",0,0,0.368390799128145,0.30179498749433,0,0.310425127576527,0
"100840",0,0,0.298630518985908,0.229240533556862,0,0.23641391227735,0
"100841",0,0,0,0,0,0,0
"100842",0,0,0.058250628656826,0,0,0.00944638742904502,0
"100843",0,0,0.256902795509614,0.188230228547267,0,0.201560021986824,0
"100844",0,0,0,0,0,0,0
"100845",0,0,0,0,0,0,0
"100846",0,0,0,0,0,0,0
"100847",0,0,0,0,0,0,0
"100848",0,0,0,0,0,0,0
"100849",0,0,0,0,0,0,0
"100850",0,0,0.287306072184163,0.220103454215468,0,0.232460680323318,0
"100851",0,0,0.356134972413132,0.290640405326614,0,0.304849818769029,0
"100852",0,0,0.359852629361655,0.294008869572399,0,0.307840449937171,0
"100853",0,0,0.355168897030034,0.291389522446968,0,0.30737297570432,0
"100854",0,0,0.312528859566508,0.250975275540711,0,0.269705585842327,0
"100855",0,0,0.213876135315117,0.154989499158538,0,0.178578418828232,0
"100856",0,0,0.171179197620939,0.109367293461385,0,0.126255140622314,0
"100857",0,0,0.204817507603548,0.142253065081634,0,0.158342297670111,0
"100858",0,0,0.255629680034532,0.188052838784993,0,0.195233424885852,0
"100859",0,0,0.149186326209563,0.0814655958085965,0,0.0900440773427755,0
"100860",0,0,0.0878932203900072,0.0206345630977486,0,0.0277566682278193,0
"100861",0,0,0.112309186880216,0.0503219678880387,0,0.0685229169218995,0
"100862",0,0,0.231070488885376,0.166191599723317,0,0.178830917836187,0
"100863",0,0,0.298432267753389,0.230638648381258,0,0.237469979172959,0
"100864",0,0,0.197553100867745,0.133534622998363,0,0.142319226975945,0
"100865",0,0,0.368889401741556,0.299003898772927,0,0.307195855294924,0
"100866",0,0,0,0,0,0,0
"100867",0,0,0.0713619182701593,0.000193504971225611,0,0.00746731530570388,0
"100868",0,0,0.142912015052434,0.0757237841965327,0,0.0903793630572342,0
"100869",0,0,0,0,0,0,0
"100870",0,0,0.0560353922974153,0,0,0.0170361607027284,0
"100871",0,0,0,0,0,0,0
"100872",0,0,0,0,0,0,0
"100873",0,0,0,0,0,0,0
"100874",0,0,0,0,0,0,0
