,Andrena_carlini,Andrena_miserabilis,Osmia_atriventris,Osmia_bucephala,Osmia_lignaria,Osmia_pumila,Andrena_violae
100001,13.58630137,12.83178082,5.314191781,0.751561644,10.70136986,4.05369863,16.86673973
100002,12.92547945,13.00734247,5.182027397,1.160876712,11.96778082,4.268712329,17.50093151
100003,13.66717808,11.58115068,5.053808219,0.62630137,8.994082192,4.202630137,17.53939726
100004,12.5990137,11.60580822,5.163287671,1.390684932,10.37293151,4.715506849,17.98619178
100005,11.92832877,10.77139726,5.95430137,2.099835616,9.358027397,5.462136986,18.73873973
100006,12.99846575,10.51693151,5.991780822,1.380821918,7.505753425,5.04690411,16.94663014
100007,14.37336986,10.77830137,3.740054795,0.253479452,8.028493151,3.623671233,18.07594521
100008,15.52536986,10.74180822,0.848219178,1.931178082,8.982246575,2.154082192,19.47846575
100009,12.58816438,9.896547945,4.713534247,1.273315068,8.285917808,4.943342466,19.65994521
100010,12.20547945,10.93216438,6.566794521,2.096876712,8.677479452,5.504547945,16.31835616
100011,12.82290411,10.64416438,5.746191781,1.425205479,8.147835616,5.017315068,16.46038356
100012,13.57249315,11.45293151,4.083287671,0.393534247,9.792,3.952109589,16.88547945
100013,14.55879452,11.22509589,1.670794521,1.021808219,10.26443836,2.756712329,18.42706849
100014,13.34268493,10.00010959,3.259726027,0.30969863,8.70509589,4.098082192,19.47254795
100015,13.32986301,11.28328767,4.954191781,0.828493151,9.10060274,4.386082192,16.86476712
100016,12.29917808,11.10772603,6.070684932,1.87890411,9.245589041,5.259945205,16.15660274
100017,12.97084932,11.31879452,5.289534247,1.176657534,9.340273973,4.65139726,15.86465753
100018,13.74608219,12.57731507,3.935342466,0.219945205,11.33457534,3.580273973,15.94750685
100019,12.71342466,12.3869589,4.402849315,1.071123288,12.03583562,4.24109589,16.52745205
100020,11.94016438,10.87693151,5.184986301,1.853260274,10.17665753,5.178082192,17.83824658
100021,13.53008219,11.40756164,4.626739726,0.589808219,9.300821918,4.160219178,15.92679452
100022,12.57041096,11.28920548,5.765917808,1.597808219,9.415232877,4.99660274,15.24526027
100023,13.60010959,11.54761644,4.549808219,0.516821918,9.480328767,4.073424658,15.36756164
100024,15.84394521,14.04789041,0.791013699,2.194520548,13.44230137,1.271342466,16.06389041
100025,14.60021918,12.8889863,2.106739726,0.930082192,12.25873973,2.520986301,16.58169863
100026,11.04361644,9.850191781,7.255232877,3.112767123,8.051178082,6.491835616,16.67046575
100027,11.45687671,10.76449315,7.039232877,2.755726027,9.02169863,6.035178082,14.93753425
100028,12.17194521,10.88580822,5.976,1.939068493,9.176547945,5.333917808,14.9789589
100029,13.15035616,11.3779726,5.005479452,0.966575342,9.435945205,4.464,14.84679452
100030,14.22739726,11.94805479,3.631561644,0.197260274,10.03463014,3.398794521,15.08547945
100031,15.43956164,12.97775342,1.815780822,1.593863014,11.51408219,2.026849315,15.54410959
100032,14.3990137,12.32975342,2.852383562,0.558246575,11.05150685,2.979616438,15.88241096
100033,12.74893151,10.82761644,4.984767123,1.239780822,9.190356164,4.757917808,16.72175342
100034,11.68964384,11.18071233,6.700931507,2.488438356,9.616438356,5.727452055,14.52526027
100035,11.736,10.64219178,6.714739726,2.465753425,8.754410959,5.828054795,14.46213699
100036,13.17008219,10.85227397,5.154410959,1.003068493,8.506849315,4.618849315,14.9069589
100037,13.70465753,11.25863014,4.735232877,0.504986301,8.752438356,4.150356164,14.79057534
100038,13.67013699,11.36613699,4.573479452,0.478356164,9.10060274,4.089205479,14.78860274
100039,13.04186301,10.93808219,5.225424658,1.112547945,8.744547945,4.681972603,15.16832877
100040,12.85742466,11.56043836,5.06860274,1.185534247,10.04252055,4.577424658,14.92767123
100041,12.63846575,10.47353425,5.615013699,1.512,8.262246575,5.094246575,14.95232877
100042,13.62969863,10.72109589,4.459068493,0.476383562,8.310575342,4.209534247,15.3389589
100043,12.68284932,11.47265753,5.749150685,1.513972603,9.54739726,4.900931507,14.14060274
100044,12.66509589,11.02290411,6.039123288,1.619506849,8.656767123,5.102136986,14.05775342
100045,12.95112329,11.19254795,5.700821918,1.318684932,8.817534247,4.824986301,14.51736986
100046,11.57621918,10.19243836,6.624986301,2.551561644,8.391452055,5.96909589,14.19484932
100047,12.84065753,9.754520548,5.420712329,1.319671233,7.110246575,5.094246575,14.82115068
100048,14.29939726,10.46465753,3.64339726,0.230794521,7.75430137,3.69369863,15.29260274
100049,13.80920548,11.5890411,4.081315068,0.229808219,9.674630137,3.815013699,14.69194521
100050,13.71156164,11.08208219,4.314082192,0.372821918,8.857972603,4.045808219,14.52624658
100051,13.89106849,11.83364384,4.433424658,0.280109589,9.610520548,3.841643836,14.48876712
100052,11.56931507,9.019726027,6.471123288,2.518027397,6.820273973,6.175232877,14.16328767
100053,12.384,9.772273973,5.608109589,1.689534247,7.586630137,5.358575342,14.02915068
100054,13.66027397,10.19145205,4.362410959,0.430027397,7.579726027,4.279561644,14.64164384
100055,13.56756164,10.6530411,4.684931507,0.588821918,8.095561644,4.327890411,14.78367123
100056,13.57347945,9.467506849,4.444273973,0.520767123,6.564821918,4.503452055,15.1219726
100057,12.84756164,10.90257534,5.209643836,1.240767123,8.967452055,4.771726027,14.24613699
100058,11.52690411,8.433863014,6.310356164,2.503232877,6.162410959,6.268931507,13.97391781
100059,12.21534247,9.562191781,5.516383562,1.77830137,7.586630137,5.45030137,13.72734247
100060,13.39594521,9.430027397,4.283506849,0.592767123,6.892273973,4.537972603,14.42367123
100061,12.88306849,9.22290411,5.230356164,1.236821918,6.442520548,5.127780822,14.29249315
100062,13.3910137,8.991123288,4.456109589,0.652931507,6.104219178,4.692821918,14.77676712
100063,10.74378082,7.052054795,6.264,3.036821918,5.237260274,6.908054795,14.02027397
100064,11.27835616,7.857863014,6.298520548,2.674849315,5.665315068,6.502684932,13.72241096
100065,12.72328767,8.309589041,4.91769863,1.257534247,5.598246575,5.295452055,13.92361644
100066,13.02706849,7.736547945,4.696767123,0.98630137,4.544876712,5.209643836,14.19583562
100067,12.48953425,7.810520548,5.328,1.547506849,4.820054795,5.64460274,14.22049315
100068,12.90279452,9.372821918,4.691835616,1.056328767,7.113205479,4.907835616,14.01830137
100069,9.458630137,5.952328767,7.645808219,4.349589041,4.136547945,8.185315068,13.42849315
100070,9.008876712,6.483945205,8.512767123,4.918684932,4.753972603,8.559123288,13.19276712
100071,11.46082192,7.461369863,5.81030137,2.402630137,5.269808219,6.344876712,13.47484932
100072,12.69665753,7.443616438,5.008438356,1.311780822,4.286465753,5.526246575,13.65435616
100073,13.12767123,7.605369863,4.605041096,0.891616438,4.299287671,5.163287671,13.968
