Gridcode,longitude,latitude,altitude
100291,-83.862,34.337,356.721
100292,-83.503,34.337,273.604
100293,-83.143,34.337,237.358
100294,-82.784,34.337,207.104
100295,-82.425,34.337,200.876
100296,-82.065,34.337,175.182
100297,-81.706,34.337,153.234
100298,-81.347,34.337,122.806
100299,-80.987,34.337,127.621
100300,-80.628,34.337,95.433
100301,-80.269,34.337,85.28
100302,-79.909,34.337,51.406
100303,-79.55,34.337,27.99
100304,-79.191,34.337,28.225
100305,-78.831,34.337,27.509
100306,-78.472,34.337,20.171
100307,-78.113,34.337,10.1
100308,-77.788,34.364,8.4
100309,-85.299,34.634,314.978
100310,-84.94,34.634,246.112
100311,-84.581,34.634,414.918
100312,-84.221,34.634,657.171
100313,-83.862,34.634,581.027
100314,-83.503,34.634,446.285
100315,-83.143,34.634,278.549
100316,-82.784,34.634,243.24
100317,-82.425,34.634,249.824
100318,-82.065,34.634,211.317
100319,-81.706,34.634,158.675
100320,-81.347,34.634,150.085
100321,-80.987,34.634,147.427
100322,-80.628,34.634,160.381
100323,-80.269,34.634,120.154
100324,-79.909,34.634,54.322
100325,-79.55,34.634,53.472
100326,-79.191,34.634,46.338
100327,-78.831,34.634,36.73
100328,-78.472,34.634,24.046
100329,-78.113,34.634,19.062
100330,-77.753,34.634,12.059
100331,-77.409,34.648,10.214
100332,-85.299,34.883,310.225
100333,-84.94,34.884,255.679
100334,-84.581,34.885,607.391
100335,-84.211,34.921,599.757
100336,-83.862,34.929,699.089
100337,-83.503,34.929,826.568
100338,-83.143,34.929,647.802
100339,-82.784,34.929,373.475
100340,-82.425,34.929,309.425
100341,-82.065,34.929,251.975
100342,-81.706,34.929,202.042
100343,-81.347,34.929,183.138
100344,-80.987,34.929,182.283
100345,-80.628,34.929,186.289
100346,-80.269,34.929,130.257
100347,-79.909,34.929,93.052
100348,-79.55,34.929,97.36
100349,-79.191,34.929,72.193
100350,-78.831,34.929,40.522
100351,-78.472,34.929,37.462
100352,-78.113,34.929,36.596
100353,-77.753,34.929,24.854
100354,-77.394,34.929,14.796
100355,-77.044,34.922,10.57
100356,-76.682,34.908,5.922
100357,-83.86,35.222,869.486
100358,-83.503,35.223,902.825
100359,-83.143,35.223,1046.473
100360,-82.784,35.223,929.225
100361,-82.425,35.223,611.844
100362,-82.065,35.223,296.262
100363,-81.706,35.223,255.134
100364,-81.347,35.223,250.359
100365,-80.987,35.223,212.69
100366,-80.628,35.223,198.81
100367,-80.269,35.223,144.148
