Gridcode,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Ave,bio12,GI,HD,IN
100011,1701.213,1539.803,1200.362,1479.732,1394.284,1529.986,1586.918,1268.481,1247.61,1537.493,1479.486,1158.878,1591.41,1263.757,1216.03,1547.59,1234.843,1227.252,1322.764,1385.145,1377.623,1295.346,1733.964,1261.722,1648.386,1614.844,1494.791,1109.261,1539.256,1507.016,1658.091,1274.822,1348.27,1376.662,1537.072,1432.625,1619.346,1519.563,1200.536,1653.368,1437.457,1526.476,1276.77,1333.958,1138.786,1371.764,1351.853,1907.509,1380.873,1348.39,1152.772,1181.553,1308.597,1623.471,1536.162,1269.89,1063.773,1648.351,1561.843,1880.268,1693.81,1060.778,1403.374,1138.828,1314.639,1326.967,1428.267,1224.117,1673.817,1725.781,1598.674,1506.607,1376.806,1592.339,1571.488,1339.828,1451.748,1359.135,1359.492,1506.385,1190.685,896.961,1764.303,1838.388,1258.643,1153.347,1327.753,1418.185,1084.842,1170.704,1005.869,1499.327,1320.011,1374.041,1659.587,1736.124,1247.584,1381.812,1405.722,1276.832,1054.408,1613.12,1699.615,1718.658,1387.235,1626.195,1340.215,1153.605,1493.097,1409.386,1387.208,1393.559,1250.563,1533.775,1396.752,1447.622,1541.942,1925.853,1220.558,1380.91,1476.62,1391.528,1716.779,1419.829,1310.639,1163.028,1288.389,1230.444
100012,1597.877,1389.66,1201.486,1426.664,1304.675,1487.216,1423.281,1227.358,1160.859,1298.339,1459.176,1101.908,1527.843,1151.382,1139.14,1500.125,1183.287,1137.305,1253.994,1238.259,1299.022,1151.669,1478.812,1227.309,1627.945,1463.243,1427.979,1147.047,1482.357,1494.56,1608.691,1164.016,1316.246,1408.009,1521.88,1346.575,1497.543,1479.207,1089.627,1587.676,1377.959,1546.339,1253.965,1226.883,1139.243,1309.684,1328.83,1912.741,1443.159,1372.666,1197.492,1160.932,1342.207,1619.272,1523.711,1222.897,1017.26,1789.483,1643.281,1769.829,1648.771,1013.508,1336.679,1117.335,1333.891,1261.907,1409.222,1204.442,1496.035,1550.492,1335.329,1268.158,1181.019,1211.865,1315.808,1213.792,1248.405,1295.968,1389.648,1270.512,1091.562,956.122,1458.666,1347.907,978.269,1143.032,1287.988,1111.769,983.073,1022.18,887.466,1401.737,1291.372,1351.651,1742.305,1384.289,1170.639,1399.204,1286.935,1397.202,1164.783,1235.765,1456.629,1454.2,1301.395,1560.616,1144.545,1117.48,1480.817,1354.471,1324.514,1311.098,1303.385,1395.194,1349.82,1283.086,1576.969,1844.677,1219.376,1410.502,1701.73,1190.765,1451.492,1338.671,1331.194,1187.181,1316.444,1240.306
100013,1516.003,1286.958,1192.444,1386.848,1223.103,1368.01,1320.317,1135.527,1082.132,1143.913,1371.169,1119.466,1494.326,1081.201,1126.247,1423.91,1113.353,1082.665,1167.292,1216.147,1306.669,1082.599,1374.055,1203.65,1507.69,1403.264,1389.999,1066.789,1416.191,1408.596,1599.29,1110.909,1366.579,1379.148,1452.411,1256.947,1534.274,1382.7,998.175,1427.514,1346.162,1550.19,1223.01,1096.01,1044.109,1223.293,1339.43,1885.758,1352.561,1275.511,1205.785,1126.012,1315.998,1544.585,1554.205,1074.115,946.241,1777.193,1581.478,1812.48,1449.592,992.509,1218.602,1070.287,1277.756,1109.393,1385.246,1197.831,1400.153,1379.727,1204.203,1096.206,1150.443,1074.928,1033.078,1096.108,1178.072,1217.762,1291.865,1156.322,1073.044,1031.713,1287.442,1311.328,925.214,1218.855,1289.726,1104.927,967.686,966.426,981.335,1417.802,1297.358,1343.543,1878.925,1419.861,1186.084,1438.88,1357.684,1370.256,1049.562,1318.726,1168.128,1299.298,1154.675,1416.565,989.751,1020.371,1463.486,1288.2,1291.311,1325.375,1351.272,1393.537,1213.528,1135.793,1657.677,1905.51,1208.212,1519.997,2077.802,1166.666,1407.752,1288.325,1414.203,1268.469,1412.359,1313.234
100014,1483.717,1427.632,1466.504,1377.336,1348.073,1355.025,1558.776,1123.011,1276.454,1186.468,1389.889,1252.405,1536.618,1135.051,1289.202,1620.353,1294.601,1148.252,1292.474,1405.963,1442.661,1317.971,1688.698,1245.309,1722.104,1616.967,1585.107,1157.594,1451.165,1520.458,1691.938,1373.781,1527.528,1599.803,1476.307,1353.112,1766.6,1413.983,1024.218,1382.667,1483.728,1551.843,1426.646,1249.952,1063.339,1278.207,1405.34,2218.343,1710.773,1442.585,1292.327,1090.902,1281.306,1731.096,1742.25,1013.301,882.254,1780.124,1570.712,1915.644,1576.677,994.546,1162.906,1362.226,1447.094,1369.324,1654.579,1415.4,1608.406,1607.638,1273.85,1078.613,1413.55,1278.066,1189.443,1140.294,1270.548,1292.654,1230.801,1343.071,1210.226,1197.549,1265.839,1659.906,1314.184,1439.052,1531.639,1195.622,1078.908,865.732,1202.215,1598.651,1418.25,1411.94,1838.44,1776.514,1434.817,1685.757,1536.558,1688.364,1179.613,1405.972,1277.427,1318.065,1105.312,1450.19,1119.677,1325.266,1465.444,1540.833,1463.803,1319.872,1725.526,1497.418,1402.838,1333.819,1530.698,1952.305,1642.01,1817.09,2518.093,1467.457,1792.852,1424.129,1521.931,1380.681,1543.194,1411.986
100015,1681.624,1458.41,1192.461,1376.993,1275.809,1421.443,1488.001,1091.691,1233.171,1558.543,1320.902,1162.707,1486.679,1194.335,1199.051,1490.554,1144.56,1166.138,1207.576,1328.465,1307.004,1327.933,2100.399,1151.645,1567.569,1526.987,1403.957,966.031,1530.434,1321.61,1602.819,1258.391,1323.584,1240.923,1322.08,1366.416,1647.223,1353.847,1191.4,1824.461,1368.547,1365.517,1327.869,1380.045,897.087,1371.802,1240.111,1896.596,1296.967,1408.154,930.466,1288.256,1271.514,1560.993,1414.726,1118.108,960.04,1675.861,1605.496,1795.125,1478.855,1112.724,1471.854,1208.918,995.504,1276.29,1168.12,1245.927,1648.138,1704.371,1579.132,1388.229,1490.204,1446.184,1406.469,1317.418,1258.461,1419.485,1428.002,1563.043,1169.164,1131.644,1793.935,1888.694,1237.352,1173.618,1275.81,1479.87,1147.187,1145.635,995.273,1503.756,1417.392,1306.815,1296.374,1862.549,1230.322,1338.318,1506.47,1297.829,1073.188,1413.978,1592.528,1814.438,1426.276,1723.785,1340.304,995.788,1436.017,1196.456,1392.011,1392.101,1340.528,1682.571,1375.772,1706.386,1658.26,1780.597,1351.95,1415.063,1603.384,1446.155,1652.15,1387.009,1312.171,1169.8,1296.143,1265.686
100016,1683.465,1559.462,1198.09,1402.782,1300.988,1454.399,1548.506,1124.316,1224.443,1575.487,1375.986,1139.195,1508.427,1218.754,1194.574,1473.055,1147.625,1157.358,1222.62,1320.142,1305.007,1306.004,1989.014,1203.115,1620.195,1515.197,1432.16,1009.187,1535.07,1374.759,1619.781,1254.107,1328.083,1278.231,1370.404,1364.456,1634.165,1381.354,1182.328,1788.097,1408.81,1468.269,1289.726,1353.392,1017.194,1395.791,1294.564,1912.658,1304.322,1354.59,1013.246,1297.652,1369.306,1554.641,1467.845,1139.537,1047.619,1655.797,1591.849,1804.068,1524.358,1132.715,1479.997,1190.619,1107.902,1310.99,1287.43,1224.713,1581.41,1706.841,1661.538,1372.017,1437.108,1510.401,1459.03,1265.796,1271.171,1337.94,1427.67,1534.779,1150.965,1063.821,1549.584,1840.664,1230.799,1235.182,1319.052,1510.296,1166.998,1213.795,1025.798,1514.174,1468.087,1342.54,1369.699,1767.705,1111.781,1357.225,1456.135,1390.13,1001.834,1397.66,1524.644,1711.634,1405.548,1725.517,1241.212,1003.331,1635.052,1319.616,1447.149,1503.996,1261.697,1740.799,1541.194,1713.443,1826.079,1867.9,1399.253,1629.748,1620.029,1430.328,1839.644,1404.532,1326.893,1181.607,1316.964,1268.732
100017,1585.183,1482.197,1153.343,1455.888,1326.02,1508.821,1465.832,1196.755,1167.368,1413.015,1406.212,1089.427,1557.903,1231.388,1164.455,1442.645,1120.785,1167.55,1197.972,1271.054,1293.187,1163.042,1557.282,1230.075,1608.858,1489.328,1429.694,1106.039,1497.838,1436.08,1617.124,1177.696,1273.22,1352.968,1488.609,1271.598,1515.599,1461.053,1123.095,1629.321,1360.848,1495.258,1185.682,1178.996,1133.034,1409.538,1303.065,1817.338,1385.623,1239.77,1003.743,1189.356,1398.705,1598.558,1533.255,1188.008,1063.408,1655.561,1544.2,1746.098,1602.268,1004.289,1407.721,1126.379,1199.618,1430.124,1427.999,1183.522,1462.774,1545.13,1557.162,1281.882,1247.117,1375.809,1473.648,1221.097,1186.114,1223.542,1377.094,1414.374,1092.546,899.104,1606.967,1629.961,1322.164,1136.13,1291.528,1454.05,1017.232,1182.553,970.541,1515.681,1302.932,1336.084,1537.979,1601.313,1089.972,1436.368,1330.934,1397.267,917.654,1369.854,1488.758,1499.134,1260.025,1620.447,1119.915,1112.916,1529.345,1399.098,1505.882,1405.163,1185.218,1655.219,1460.7,1438.404,1616.551,1616.105,1294.7,1425.955,1520.123,1401.02,1639.61,1357.206,1289.905,1155.349,1291.81,1222.746
100018,1504.118,1295.623,1115.135,1378.536,1212.612,1418.138,1307.874,1112.321,1095.453,1197.577,1340.53,1035.847,1464.511,1058.802,1093.829,1409.638,1014.685,1046.994,1063.144,1139.752,1196.838,995.06,1392.593,1218.466,1499.166,1320.242,1332.742,1095.949,1433.118,1418.228,1584.463,1041.671,1264.56,1363.336,1450.557,1271.272,1466.809,1439.443,1008.566,1441.474,1361.779,1577.803,1257.879,1041.563,1086.464,1255.106,1281.937,1851.187,1393.652,1269.616,1006.065,1237.843,1384.73,1587.317,1522.414,1202.562,986.279,1742.074,1558.277,1689.313,1580.648,1056.606,1367.922,1012.471,1131.674,1377.843,1401.215,1135.854,1407.309,1451.383,1385.135,1208.982,1117.094,1104.337,1297.951,1188.072,1053.476,1257.72,1347.679,1204.166,1029.847,768.351,1372.554,1300.828,1091.451,1173.738,1275.269,1099.92,1004.109,1021.646,867.969,1358.393,1199.65,1169.747,1496.967,1484.493,1190.527,1287.832,1371.354,1406.023,878.482,1102.834,1259.727,1278.593,1212.751,1534.682,941.907,985.129,1469.153,1277.129,1310.852,1263.346,1128.345,1301.81,1289.434,1199.684,1410.141,1537.48,1242.954,1460.138,1487.827,1395.915,1331.972,1269.854,1267.921,1139.508,1274.984,1193.159
100019,1517.657,1321.554,1229.696,1382.341,1192.953,1382.964,1334.575,1091.678,1142.047,1174.666,1347.006,1089.984,1468.963,1062.827,1130.515,1462.238,1093.155,1067.058,1140.728,1200.127,1266.343,1061.66,1400.121,1255.023,1529.301,1374.988,1501.673,1111.506,1434.725,1468.135,1638.567,1117.378,1424.671,1431.819,1467.375,1323.287,1521.764,1435.23,996.352,1412.804,1354.255,1604.14,1329.088,1074.979,1089.128,1228.097,1394.44,1969.887,1389.241,1318.851,1138.746,1315.602,1383.467,1693.606,1568.569,1193.486,1029.237,1838.688,1581.529,1828.761,1639.638,1078.276,1396.499,1113.322,1338.248,1280.683,1494.881,1086.493,1560.834,1557.314,1390.127,1287.885,1217.882,1135.463,1233.562,1243.616,1137.695,1324.766,1429.873,1255.328,1120.732,988.907,1479.362,1409.227,1109.811,1200.911,1273.427,1035.054,970.835,920.196,951.235,1349.637,1327.321,1235.766,1751.522,1287.636,1172.073,1260.916,1219.271,1211.308,994.567,1186.38,1090.759,1277.021,1250.864,1345.249,1043.925,972.561,1447.182,1300.194,1290.828,1204.861,1291.795,1354.985,1243.063,1031.127,1417.554,1652.127,1191.84,1520.836,1807.249,1194.739,1247.878,1302.149,1364.375,1231.196,1382.286,1278.464
100020,1444.418,1405.436,1425.394,1356.719,1309.592,1329.965,1523.884,1093.751,1302.335,1167.562,1328.123,1166.847,1503.311,1107.924,1313.612,1586.144,1246.926,1138.276,1279.653,1375.831,1440.882,1203.794,1585.687,1290.053,1632.226,1586.594,1534.675,1108.856,1435.936,1472.42,1646.285,1300.119,1496.202,1616.647,1396.112,1361.919,1688.943,1419.693,1026.881,1397.177,1490.912,1643.35,1462.601,1200.932,1092.553,1331.429,1395.515,2258.078,1607.751,1412.198,1297.354,1281.555,1343.673,1816.02,1807.024,1081.572,974.292,1825.691,1554.486,1984.337,1673.252,1011.044,1270.45,1268.441,1530.497,1330.52,1744.054,1271.137,1568.693,1632.153,1308.261,1212.869,1398.856,1244.62,1302.882,1164.916,1221.445,1333.687,1388.54,1343.509,1212.764,1189.186,1725.057,1872.684,1359.08,1327.312,1547.533,1248.875,1265.699,974.266,1034.948,1599.291,1451.108,1368.948,2005.538,1607.705,1413.066,1590.456,1506.733,1540.223,1104.309,1490.684,1307.286,1313.438,1211.6,1393.264,1252.958,1330.979,1545.547,1390.697,1394.464,1158.507,1802.605,1589.185,1604.961,1253.494,1497.612,1779.104,1562.592,1706.822,2022.831,1359.248,1481.806,1418.881,1479.032,1353.413,1521.048,1385.587
